Contract,InternetService,PaymentMethod,tenure_band,customers,churned,churn_rate
Month-to-month,Fiber optic,Bank transfer (automatic),0–12,87,71,0.8161
Month-to-month,Fiber optic,Electronic check,0–12,631,449,0.7116
Month-to-month,Fiber optic,Mailed check,0–12,123,77,0.626
Month-to-month,Fiber optic,Credit card (automatic),0–12,75,46,0.6133
Month-to-month,Fiber optic,Electronic check,13–24,255,150,0.5882
Month-to-month,DSL,Electronic check,0–12,282,142,0.5035
Month-to-month,Fiber optic,Electronic check,25–48,286,140,0.4895
Month-to-month,Fiber optic,Credit card (automatic),13–24,62,28,0.4516
Month-to-month,Fiber optic,Bank transfer (automatic),25–48,102,42,0.4118
Month-to-month,DSL,Mailed check,0–12,255,102,0.4
Month-to-month,DSL,Credit card (automatic),0–12,74,28,0.3784
Month-to-month,Fiber optic,Electronic check,49–72,135,50,0.3704
Month-to-month,DSL,Electronic check,13–24,85,30,0.3529
Month-to-month,Fiber optic,Bank transfer (automatic),13–24,71,23,0.3239
Month-to-month,Fiber optic,Credit card (automatic),25–48,102,33,0.3235
One year,Fiber optic,Electronic check,25–48,59,17,0.2881
Month-to-month,Fiber optic,Credit card (automatic),49–72,54,15,0.2778
Month-to-month,DSL,Bank transfer (automatic),0–12,79,21,0.2658
One year,Fiber optic,Electronic check,49–72,129,32,0.2481
Month-to-month,No,Mailed check,0–12,263,63,0.2395
Month-to-month,DSL,Credit card (automatic),25–48,50,11,0.22
Month-to-month,Fiber optic,Bank transfer (automatic),49–72,67,13,0.194
Month-to-month,DSL,Electronic check,25–48,77,14,0.1818
One year,Fiber optic,Bank transfer (automatic),49–72,101,17,0.1683
One year,Fiber optic,Credit card (automatic),49–72,106,17,0.1604
Month-to-month,DSL,Bank transfer (automatic),25–48,57,9,0.1579
Month-to-month,DSL,Mailed check,13–24,64,9,0.1406
One year,DSL,Mailed check,25–48,65,9,0.1385
One year,DSL,Credit card (automatic),25–48,77,8,0.1039
Two year,Fiber optic,Bank transfer (automatic),49–72,151,15,0.0993
Two year,Fiber optic,Electronic check,49–72,81,7,0.0864
One year,Fiber optic,Bank transfer (automatic),25–48,50,4,0.08
One year,DSL,Bank transfer (automatic),49–72,69,4,0.058
One year,DSL,Credit card (automatic),49–72,69,4,0.058
One year,DSL,Bank transfer (automatic),25–48,53,3,0.0566
Two year,Fiber optic,Credit card (automatic),49–72,145,6,0.0414
Two year,DSL,Credit card (automatic),49–72,197,4,0.0203
Two year,DSL,Bank transfer (automatic),49–72,199,3,0.0151
Two year,No,Mailed check,25–48,76,1,0.0132
Two year,No,Mailed check,49–72,100,1,0.01
Two year,No,Credit card (automatic),49–72,127,1,0.0079
Two year,No,Bank transfer (automatic),49–72,129,1,0.0078
One year,No,Mailed check,13–24,54,0,0.0
Two year,DSL,Mailed check,49–72,61,0,0.0
